ball_faced,bowled_by,catched_by,dot_balls,economy,four,ground_city,ground_name,match_no,name,opposite_team_name,over,run_gave,run_scored,runout_by,six,strike_rate,stumped_by,team_name,wicket,wicket_taken
22,Karanveer Singh,Glenn Maxwell,,,0,Bengaluru,M. Chinnaswamy Stadium,Final,Yusuf Pathan,Kings XI Punjab,,,36,,4,163.63,,Kolkata Knight Riders,catch,
55,,,,,10,Bengaluru,M. Chinnaswamy Stadium,Final,Wriddhiman Saha,Kolkata Knight Riders,,,115,,8,209.09,,Kings XI Punjab,,
,,,9,13.50,,Bengaluru,M. Chinnaswamy Stadium,Final,Karanveer Singh,Kolkata Knight Riders,4,54,,,,,,Kings XI Punjab,,4
,,,9,10.00,,Bengaluru,M. Chinnaswamy Stadium,Final,Morne Morkel,Kings XI Punjab,4,40,,,,,,Kolkata Knight Riders,,0
3,Mitchell Johnson,Axar Patel,,,1,Bengaluru,M. Chinnaswamy Stadium,Final,Robin Uthappa,Kings XI Punjab,,,5,,0,166.66,,Kolkata Knight Riders,catch,
50,Karanveer Singh,George Bailey,,,7,Bengaluru,M. Chinnaswamy Stadium,Final,Manish Pandey,Kings XI Punjab,,,94,,6,188.00,,Kolkata Knight Riders,catch,
6,Mitchell Johnson,Manan Vohra,,,0,Bengaluru,M. Chinnaswamy Stadium,Final,Suryakumar Yadav,Kings XI Punjab,,,5,,0,83.33,,Kolkata Knight Riders,catch,
17,Karanveer Singh,David Miller,,,3,Bengaluru,M. Chinnaswamy Stadium,Final,Gautam Gambhir,Kings XI Punjab,,,23,,0,135.29,,Kolkata Knight Riders,catch,
,,,10,5.25,,Bengaluru,M. Chinnaswamy Stadium,Final,Axar Patel,Kolkata Knight Riders,4,21,,,,,,Kings XI Punjab,,0
10,Umesh Yadav,Gautam Gambhir,,,1,Bengaluru,M. Chinnaswamy Stadium,Final,Virender Sehwag,Kolkata Knight Riders,,,7,,0,70.00,,Kings XI Punjab,catch,
3,Karanveer Singh,David Miller,,,1,Bengaluru,M. Chinnaswamy Stadium,Final,Ryan ten Doeschate,Kings XI Punjab,,,4,,0,133.33,,Kolkata Knight Riders,catch,
1,Piyush Chawla,Morne Morkel,,,0,Bengaluru,M. Chinnaswamy Stadium,Final,Glenn Maxwell,Kolkata Knight Riders,,,0,,0,0.00,,Kings XI Punjab,catch,
,,,6,10.25,,Bengaluru,M. Chinnaswamy Stadium,Final,Lakshmipathy Balaji,Kolkata Knight Riders,4,41,,,,,,Kings XI Punjab,,0
,,,10,9.75,,Bengaluru,M. Chinnaswamy Stadium,Final,Umesh Yadav,Kings XI Punjab,4,39,,,,,,Kolkata Knight Riders,,1
4,,,10,11.50,0,Bengaluru,M. Chinnaswamy Stadium,Final,Sunil Narine,Kings XI Punjab,4,46,2,,0,50.00,,Kolkata Knight Riders,,1
1,,,,,0,Bengaluru,M. Chinnaswamy Stadium,Final,David Miller,Kolkata Knight Riders,,,1,,0,100.00,,Kings XI Punjab,,
52,Piyush Chawla,&,,,6,Bengaluru,M. Chinnaswamy Stadium,Final,Manan Vohra,Kolkata Knight Riders,,,67,,2,128.84,,Kings XI Punjab,catch,
,,,8,10.25,,Bengaluru,M. Chinnaswamy Stadium,Final,Mitchell Johnson,Kolkata Knight Riders,4,41,,,,,,Kings XI Punjab,,2
