ball_faced,bowled_by,catched_by,dot_balls,economy,four,ground_city,ground_name,match_no,name,opposite_team_name,over,run_gave,run_scored,runout_by,six,strike_rate,stumped_by,team_name,wicket,wicket_taken
50,Mitchell Johnson,Ambati Rayudu,,,2,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Steve Smith,Mumbai Indians,,,51,,2,102.00,,Rising Pune Supergiant,catch,
8,Mitchell Johnson,Kieron Pollard,,,1,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Manoj Tiwary,Mumbai Indians,,,7,,0,87.50,,Rising Pune Supergiant,catch,
13,Jasprit Bumrah,Parthiv Patel,,,1,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,MS Dhoni,Mumbai Indians,,,10,,0,76.92,,Rising Pune Supergiant,catch,
2,,,10,8.50,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Dan Christian,Mumbai Indians,4,34,4,,0,200.00,,Rising Pune Supergiant,,2
,,,7,8.00,,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Adam Zampa,Mumbai Indians,4,32,,,,,,Rising Pune Supergiant,,2
,,,11,4.75,,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Jaydev Unadkat,Mumbai Indians,4,19,,,,,,Rising Pune Supergiant,,2
8,Jaydev Unadkat,&,,,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Lendl Simmons,Rising Pune Supergiant,,,3,,0,37.50,,Mumbai Indians,catch,
38,Dan Christian,Ajinkya Rahane,8,7.75,3,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Krunal Pandya,Rising Pune Supergiant,4,31,47,,2,123.68,,Mumbai Indians,catch,0
5,,,12,4.50,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Karn Sharma,Rising Pune Supergiant,4,18,1,Dan Christian,0,20.00,,Mumbai Indians,runout,0
3,Adam Zampa,Manoj Tiwary,,,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Kieron Pollard,Rising Pune Supergiant,,,7,,1,233.33,,Mumbai Indians,catch,
,,,5,10.50,,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Lockie Ferguson,Mumbai Indians,2,21,,,,,,Rising Pune Supergiant,,0
,,,6,3.50,,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Shardul Thakur,Mumbai Indians,2,7,,,,,,Rising Pune Supergiant,,0
1,,,15,3.25,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Washington Sundar,Mumbai Indians,4,13,0,Jagadeesha Suchith,0,0.00,,Rising Pune Supergiant,runout,0
6,Jaydev Unadkat,Shardul Thakur,,,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Parthiv Patel,Rising Pune Supergiant,,,4,,0,66.66,,Mumbai Indians,catch,
,,,11,5.25,,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Lasith Malinga,Rising Pune Supergiant,4,21,,,,,,Mumbai Indians,,0
8,Jasprit Bumrah,,,,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Rahul Tripathi,Mumbai Indians,,,3,,0,37.50,,Rising Pune Supergiant,lbw,
38,Mitchell Johnson,Kieron Pollard,,,5,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Ajinkya Rahane,Mumbai Indians,,,44,,0,115.78,,Rising Pune Supergiant,catch,
15,,,,,1,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Ambati Rayudu,Rising Pune Supergiant,,,12,Steve Smith,0,80.00,,Mumbai Indians,runout,
,,,8,6.50,,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Jasprit Bumrah,Rising Pune Supergiant,4,26,,,,,,Mumbai Indians,,2
14,,,10,6.50,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Mitchell Johnson,Rising Pune Supergiant,4,26,13,,1,92.85,,Mumbai Indians,,3
9,Dan Christian,,,,0,Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Final,Hardik Pandya,Rising Pune Supergiant,,,10,,1,111.11,,Mumbai Indians,lbw,
